U|786628009|23927335|3|2008-11-30|2008|4|2|2009|2009-02-05|160|1|0|1
U|808837620|11071994|2|2008-12-31|2008|4|4|2008|2010-01-30|133|2|0|1
U|810136118|44462934|2|2008-12-31|2008|4|4|2008|2010-01-18|133|2|0|1
U|969333205|6243836|10|2001-12-31|2001|4|4|2001|2003-03-25|50|2|0|1
U|969334615|6243836|10|2003-12-31|2003|4|4|2003|2005-03-22|50|5|0|1
U|1020693422|11147204|10|2008-12-31|2008|4|4|2008|2010-02-22|133|3|0|2
U|1024991978|11071994|10|2005-12-31|2005|4|4|2005|2007-03-01|133|4|0|1
U|1024992247|30518347|10|2008-12-31|2008|4|4|2008|2010-01-13|133|5|0|1
U|1062620896|9817466|10|2002-06-30|2002|2|2|2002|2003-11-04|27|3|0|1
U|1062626509|9817466|10|2003-06-30|2003|2|2|2003|2003-11-04|27|3|0|1
U|1065554030|46263794|2|2009-03-31|2009|1|1|2009|2010-08-12|47|3|0|1
U|1065579832|46263794|3|2009-03-31|2009|1|1|2009|2010-08-12|47|3|0|1
U|1065581048|46263794|4|2009-03-31|2009|1|1|2009|2010-08-12|47|3|0|1
U|1085419673|30518347|2|2009-06-30|2009|2|2|2009|2009-07-12|133|2|0|1
U|1085477354|30518347|3|2009-06-30|2009|2|2|2009|2009-07-12|133|2|0|1
U|1085479094|30518347|4|2009-06-30|2009|2|2|2009|2009-07-12|133|2|0|1
U|1114546409|11147204|3|2009-06-30|2009|2|2|2009|2010-07-17|133|5|0|2
U|1114547658|11147204|2|2009-06-30|2009|2|2|2009|2010-07-17|133|5|0|2
U|1114625958|11147204|4|2009-06-30|2009|2|2|2009|2010-07-17|133|3|0|2
U|1213421074|881124|10|2003-06-30|2003|2|2|2003|2004-08-11|27|5|0|1
U|1245436373|42910777|1|2008-03-24|2008|1|4|2008|2008-07-22|160|4|0|1
U|1245500199|42910777|3|2008-03-24|2008|1|4|2008|2008-07-22|160|4|0|1
U|1245501044|42910777|4|2008-03-24|2008|1|4|2008|2008-07-22|160|4|0|1
U|1250337288|44462934|3|2009-09-30|2009|3|3|2009|2010-10-20|133|4|0|1
U|1250338496|44462934|2|2009-09-30|2009|3|3|2009|2010-10-20|133|3|0|1
U|1250417896|44462934|4|2009-09-30|2009|3|3|2009|2010-10-20|133|3|0|1
U|1251146359|30518347|10|2009-06-30|2009|2|2|2009|2009-07-12|133|2|0|1
U|1254285579|11147204|10|2009-06-30|2009|2|2|2009|2010-07-17|133|5|0|2
U|1267627411|6243836|2|2001-03-31|2001|1|1|2001|2002-09-26|50|2|0|1
U|1267627412|6243836|3|2001-03-31|2001|1|1|2001|2002-09-26|50|2|0|1
U|1268579906|6243836|10|2004-06-30|2004|2|2|2004|2005-10-18|50|3|0|1
U|1268579931|6243836|10|2003-06-30|2003|2|2|2003|2004-11-02|50|5|0|1
U|1268585724|6243836|10|2001-06-30|2001|2|2|2001|2002-11-12|50|3|0|1
U|1353900728|11071994|2|2007-09-30|2007|3|3|2007|2008-11-12|133|4|0|1
U|1353900811|11071994|3|2007-06-30|2007|2|2|2007|2008-07-30|133|4|0|1
U|1353900814|11071994|2|2007-03-31|2007|1|1|2007|2008-04-30|133|4|0|1
U|1353900818|11071994|2|2004-03-31|2004|1|1|2004|2005-05-22|133|2|0|1
U|1353900832|11071994|2|2005-09-30|2005|3|3|2005|2006-10-30|133|4|0|1
U|1353900867|11071994|3|2007-09-30|2007|3|3|2007|2008-11-12|133|4|0|1
U|1353900889|11071994|2|2008-03-31|2008|1|1|2008|2009-04-21|133|3|0|1
U|1353900916|11071994|2|2007-06-30|2007|2|2|2007|2008-07-30|133|3|0|1
U|1353918029|11071994|3|2004-03-31|2004|1|1|2004|2005-05-22|133|2|0|1
U|1353918039|11071994|3|2007-03-31|2007|1|1|2007|2008-04-30|133|4|0|1
U|1353918043|11071994|3|2008-03-31|2008|1|1|2008|2009-04-21|133|3|0|1
U|1353918962|11071994|4|2004-03-31|2004|1|1|2004|2005-05-22|133|2|0|1
U|1353918997|11071994|4|2007-03-31|2007|1|1|2007|2008-04-30|133|4|0|1
U|1353918998|11071994|4|2007-06-30|2007|2|2|2007|2008-07-30|133|4|0|1
U|1353919003|11071994|4|2007-09-30|2007|3|3|2007|2008-11-12|133|4|0|1
U|1353919014|11071994|4|2008-03-31|2008|1|1|2008|2009-04-21|133|3|0|1
U|1354005881|11071994|10|2007-06-30|2007|2|2|2007|2008-07-30|133|4|0|1
A|1354005907|11071994|10|2004-12-31|2004|4|4|2004|2006-03-01|133|2|0|1
U|1354729905|11071994|2|2005-06-30|2005|2|2|2005|2006-07-30|133|4|0|1
U|1354729929|11071994|2|2008-06-30|2008|2|2|2008|2009-08-02|133|3|0|1
U|1354730034|11071994|3|2005-06-30|2005|2|2|2005|2006-07-30|133|4|0|1
U|1354730041|11071994|3|2008-06-30|2008|2|2|2008|2009-08-02|133|3|0|1
U|1354730313|11071994|2|2005-03-31|2005|1|1|2005|2006-04-30|133|4|0|1
U|1354795247|11071994|3|2005-03-31|2005|1|1|2005|2006-04-30|133|4|0|1
U|1354796560|11071994|4|2005-03-31|2005|1|1|2005|2006-04-30|133|3|0|1
A|1354796563|11071994|4|2005-06-30|2005|2|2|2005|2006-07-30|133|3|0|1
U|1354796599|11071994|4|2008-06-30|2008|2|2|2008|2009-08-02|133|3|0|1
U|1354907249|11071994|10|2005-06-30|2005|2|2|2005|2006-07-30|133|4|0|1
U|1354907250|11071994|10|2008-06-30|2008|2|2|2008|2009-08-02|133|3|0|1
U|1386714182|44788985|10|2009-12-31|2009|4|4|2009|2011-03-01|47|3|0|1
U|1386723057|44788985|3|2009-06-30|2009|2|2|2009|2010-08-24|47|2|0|1
U|1386723344|44788985|2|2009-06-30|2009|2|2|2009|2010-08-24|47|2|0|1
U|1386742534|44788985|4|2009-06-30|2009|2|2|2009|2010-08-24|47|2|0|1
U|1386745615|44788985|2|2009-09-30|2009|3|3|2009|2010-11-29|47|3|0|1
